"Timestamp","Sexe","Niveau d'étude","Filière","Avez-vous déjà suivi des cours de méthodes quantitatives ","Sur une échelle de 1 à 10, quel est votre niveau en méthodes quantitatives (simple calcul et raisonnement mathématiques)","Considérons un groupe de TD pour lequel la moyenne des notes est égale à 10 et la variance est égale à 9. Trois nouveaux étudiants ayant respectivement 7, 14 et 17 s'inscrivent dans ce groupe. Laquelle des énoncés suivantes est vraie?","Quel(s) sujet(s) vous intéresse(nt) en Sociologie et pourquoi?","Donnez-moi le titre d'un texte ou article qui vous a marqué dans cette thématique.","Quels sont vos objectifs après votre formation?"
"2021/01/07 11:41:37 PM EST","Homme","Première année bac","","Oui","1","Je ne sais pas ce que c'est que la médiane et la moyenne","Sociologie de la famille, sociologie en ce qui concerne la mondialisation... J'aime bien comprendre les phénomènes qui influencent le monde et les individus.","The outsider","Continuer en Maîtrise"
"2021/01/08 9:00:16 AM EST","Homme","Première année bac","C'est ma première année de baccalauréat en sociologie, mais j'ai un niveau BTS en Design de mode","Non","6","la médiane augmente;la moyenne augmente","Tout ce qui touche à l'expression de soi : la mode, la sexualité, les études autour du genre, des ethnicités...","''Je ne suis pas parisienne'' - Alice Pfeiffer","Mes attentes évoluent au fur et à mesure des rencontres, des sujets étudiés et des opportunités qui s'offrent à moi donc tout est possible !"
"2021/01/08 9:28:44 AM EST","Femme","Première année bac","Sociologie","Oui","7","la moyenne augmente","Les études autochtones, ce sont des enjeux qui  me semblent à la fois cruciaux à étudier et riches en connaissances pour l’avenir des sociétés occidentales","« Je suis une maudite sauvagesse »","Continuer en Maîtrise"
"2021/01/08 2:59:56 PM EST","Femme","Autres(préciser)","Mineure en sociologie, mais baccalauréat par cumul","Oui","6","la moyenne augmente","Tous les sujets m'intéressent, mais je suis particulièrement interpellée par tout ce qui touche le genre et la sexualité.","Je ne me souviens plus exactement du titre, mais c'était un article sur les rôles du féminisme et de l'antiféminisme dans la tragédie de Polytechnique.","Continuer en Maîtrise"
"2021/01/09 1:17:40 PM EST","Femme","Troisième année bac","Sociologie","Non","6","la médiane augmente;la moyenne augmente","Les inegalites de genre et liés au differentes sexualités et les thoeries sur le genre","Rubin Gayle, « Penser le sexe »","Continuer en Maîtrise;Ecole de management par exemple"
"2021/01/09 10:47:26 PM EST","Je ne souhaite pas le préciser","Première année bac","Sociologie","Oui","6","la moyenne augmente","Études féministes, féminisme matérialiste, théories queer, sociologie du genre.","WITTIG, Monique. (1980). On ne naît pas femme. Questions Féministes, (8), p. 75-84. PRECIADO, Paul B. (2012). Multitudes queer. Notes pour une politique des ""anormaux"". Association Multitudes, p. 17-25.","Continuer en Maîtrise"
"2021/01/10 3:14:39 PM EST","Femme","Première année bac","SOCIOLOGIE","Oui","1","Je ne sais pas ce que c'est que la médiane et la moyenne","les réseaux sociaux, les nouvelles technologies, les conflits géopolitiques","","Continuer en Maîtrise"
"2021/01/11 4:41:00 PM EST","Femme","Première année bac","Sociologie","Oui","3","la moyenne augmente","La recherche, les statistiques. ","Les règles de la méthodes sociologique de Émile Durkheim","Je ne sais pas encore."
"2021/01/12 2:00:47 PM EST","Femme","Première année bac","","Oui","7","la moyenne baisse","Le féminisme, car on trouve encore ce sujet dans notre société.","","Continuer en Maîtrise"
"2021/01/12 2:03:48 PM EST","Homme","Deuxième année bac","Sociologie","Non","5","la médiane augmente;la moyenne augmente","Dépedance et consommation, approches post-coloniales ","Methodological Nationalism, the Social Sciences, and the Study of Migration: An Essay in Historical Epistemology par Nina Glick Schiller","Continuer en Maîtrise;Continuer au doctorat"
"2021/01/13 9:50:24 PM EST","Homme","Première année bac","Sociologie","Oui","7","la moyenne augmente","L’immigration et l’intégration, car c’est un sujet d’actualité et qui est utile à comprendre.","« Immigration, intégration et citoyenneté : quand le majoritaire parle de lui-même » de Geneviève Bouthillier","Continuer en Maîtrise"
